Mouse ID,Timepoint,Drug Regimen,Sex,Age_months,Weight (g),Tumor Volume,Metastatic Sites
a203,45,Infubinol,Female,20,23,67.97341878,2
a251,45,Infubinol,Female,21,25,65.52574285,1
a262,45,Placebo,Female,17,29,70.71762058,4
a275,45,Ceftamin,Female,20,28,62.99935619,3
a366,30,Stelasyn,Female,16,29,63.44068627,1
a401,45,Zoniferol,Female,8,25,66.79415599,4
a411,45,Ramicane,Male,3,22,38.407618299999996,1
a444,45,Ramicane,Female,10,25,43.04754260000001,0
a457,10,Ketapril,Female,11,30,49.78341894,0
a492,45,Stelasyn,Male,20,25,60.12201052,1
a520,45,Ramicane,Male,13,21,38.81036633,1
a577,30,Infubinol,Female,6,25,57.03186187,2
a644,45,Ramicane,Female,7,17,32.97852192,1
a685,45,Infubinol,Male,8,30,66.08306589,3
a699,45,Propriva,Female,5,28,62.19141437,1
a788,30,Zoniferol,Male,5,30,60.41370908,1
a818,45,Naftisol,Female,12,28,74.99776443,2
a897,45,Placebo,Male,7,28,72.25596306,4
a963,45,Stelasyn,Female,23,27,62.76509317,1
b128,45,Capomulin,Female,9,22,38.98287774,2
b313,25,Zoniferol,Male,12,27,55.74514628,1
b447,0,Ceftamin,Male,2,30,45.0,0
b487,25,Ceftamin,Female,6,28,56.05774909,1
b559,45,Naftisol,Male,20,26,73.05136339,1
b742,45,Capomulin,Male,7,21,38.93963263,0
b759,30,Ceftamin,Female,12,25,55.74282869,1
b879,45,Stelasyn,Female,4,26,72.55523894,2
c139,45,Infubinol,Male,11,28,72.2267309,2
c264,45,Zoniferol,Female,11,27,67.94212107,2
c282,45,Placebo,Male,12,27,65.81516535,2
c302,45,Zoniferol,Female,10,29,64.57522157,4
c326,5,Infubinol,Female,18,25,36.321345799999996,0
c402,45,Stelasyn,Female,1,27,74.04039018,3
c458,30,Ramicane,Female,23,20,38.34200823,2
c559,45,Zoniferol,Female,19,28,61.84005842,4
c580,30,Ketapril,Male,22,25,58.04656941,3
c757,45,Placebo,Male,9,27,69.04284082,3
c758,45,Ramicane,Male,9,17,33.39765251,1
c766,45,Placebo,Female,13,26,69.82314577,4
c819,40,Ketapril,Male,21,25,62.17570465,1
c832,45,Ketapril,Male,18,29,65.41595451,3
c895,30,Infubinol,Female,7,29,60.96971133,2
c927,40,Propriva,Female,4,26,64.18322918,4
d133,0,Zoniferol,Male,5,30,45.0,0
d164,10,Zoniferol,Male,21,28,47.47464468,1
d251,45,Ramicane,Female,8,19,37.31123552,2
d474,40,Ketapril,Male,18,27,60.23373278,1
e213,45,Naftisol,Male,8,27,63.1056963,4
e227,45,Placebo,Male,1,30,73.21293851,3
e291,25,Naftisol,Female,14,29,55.1389525,2
e476,45,Infubinol,Male,23,26,62.43540402,1
e584,45,Naftisol,Male,9,27,68.3597767,4
e662,45,Ramicane,Male,8,24,40.65900627,2
f129,15,Zoniferol,Female,11,29,49.98830246,1
f234,35,Stelasyn,Male,14,28,57.74875831,2
f278,5,Ketapril,Male,12,30,48.19457788,0
f345,45,Infubinol,Male,23,26,60.91876652,1
f394,5,Zoniferol,Male,19,30,47.03309963,0
f436,15,Ceftamin,Female,3,25,48.72207785,2
f545,45,Zoniferol,Female,20,26,73.32443228,1
f932,0,Ketapril,Male,15,29,45.0,0
f966,20,Capomulin,Male,16,17,30.48598484,0
f993,20,Naftisol,Male,21,28,52.07951009,1
g107,35,Ketapril,Female,2,29,71.90511721,0
g288,45,Capomulin,Male,3,19,37.07402422,1
g296,45,Zoniferol,Female,14,29,68.16319517,4
g316,45,Capomulin,Female,22,22,40.1592203,2
g497,45,Ketapril,Male,19,28,69.87225079,2
g558,40,Propriva,Male,8,29,61.77496268,4
g570,45,Propriva,Male,16,29,70.49278763,2
g791,45,Ramicane,Male,11,16,29.12847181,1
g867,15,Stelasyn,Female,9,25,51.06041924,1
g989,35,Propriva,Female,21,26,62.57087961,2
h246,45,Ketapril,Male,13,30,74.10408567,2
h333,30,Stelasyn,Male,21,27,55.45528975,2
